IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
211.216.164.214,50003,443,true,ICN,Asia Pacific,Seoul,159,1.60
175.212.228.178,50013,443,true,ICN,Asia Pacific,Seoul,139,1.59
183.47.49.173,9981,443,true,SJC,North America,San Jose,45,1.56
122.116.86.104,81,443,true,TPE,Asia Pacific,Taipei,93,1.54
211.54.238.162,10001,80,false,KIX,Asia Pacific,Osaka,219,1.54
64.110.103.142,587,443,true,KIX,Asia Pacific,Osaka,203,1.52
1.236.13.140,12345,443,true,KIX,Asia Pacific,Osaka,177,1.52
118.35.91.58,21235,443,true,KIX,Asia Pacific,Osaka,264,1.52
175.210.12.167,27017,443,true,LAX,North America,Los Angeles,336,1.49
27.116.108.61,30012,443,true,ICN,Asia Pacific,Seoul,141,1.47
203.243.45.229,50002,443,true,ICN,Asia Pacific,Seoul,135,1.46
110.15.107.178,10088,443,true,ICN,Asia Pacific,Seoul,535,1.44
137.220.234.17,55555,0,true,LAX,North America,Los Angeles,70,1.42
61.109.53.51,10443,443,true,KIX,Asia Pacific,Osaka,367,1.41
124.216.234.166,30060,443,true,ICN,Asia Pacific,Seoul,156,1.41
175.205.185.168,25001,80,false,ICN,Asia Pacific,Seoul,138,1.40
1.252.14.205,33890,443,true,KIX,Asia Pacific,Osaka,339,1.40
121.142.128.120,50003,443,true,ICN,Asia Pacific,Seoul,135,1.39
14.49.168.244,10250,443,true,ICN,Asia Pacific,Seoul,300,1.39
113.199.23.82,10002,443,true,HKG,Asia Pacific,Hong Kong,263,1.37
43.133.169.125,20443,443,true,NRT,Asia Pacific,Tokyo,121,1.37
110.15.107.178,10001,443,true,ICN,Asia Pacific,Seoul,800,1.36
118.44.66.219,50002,443,true,ICN,Asia Pacific,Seoul,131,1.33
58.122.187.141,10554,443,true,KIX,Asia Pacific,Osaka,256,1.32
175.194.187.210,50002,443,true,ICN,Asia Pacific,Seoul,172,1.29
211.219.241.28,31337,443,true,ICN,Asia Pacific,Seoul,155,1.27
122.32.191.2,18080,443,true,NRT,Asia Pacific,Tokyo,544,1.27
118.41.50.223,10001,443,true,LAX,North America,Los Angeles,639,1.27
111.91.187.73,50005,443,true,ICN,Asia Pacific,Seoul,125,1.26
111.65.176.92,23424,443,true,NRT,Asia Pacific,Tokyo,211,1.26
39.113.220.231,10002,443,true,KIX,Asia Pacific,Osaka,363,1.24
110.15.107.178,12192,443,true,NRT,Asia Pacific,Tokyo,538,1.23
211.226.24.204,30327,443,true,ICN,Asia Pacific,Seoul,153,1.23
211.34.21.48,10001,443,true,ICN,Asia Pacific,Seoul,142,1.22
121.174.102.21,12530,443,true,ICN,Asia Pacific,Seoul,223,1.20
180.65.214.246,20000,443,true,NRT,Asia Pacific,Tokyo,319,1.18
